jurisdiction,state,type,priority
Hayward city, Wisconsin,Place,Yes
Hazel Green village, Wisconsin,Place,No
Hebron CDP, Wisconsin,Place,No
Helenville CDP, Wisconsin,Place,No
Herbster CDP, Wisconsin,Place,No
Hewitt village, Wisconsin,Place,Yes
Highland village, Wisconsin,Place,Yes
Hilbert village, Wisconsin,Place,No
Hillsboro city, Wisconsin,Place,Yes
Hingham CDP, Wisconsin,Place,No
Hixton village, Wisconsin,Place,No
Hobart village, Wisconsin,Place,No
Holcombe CDP, Wisconsin,Place,No
Hollandale village, Wisconsin,Place,Yes
Holmen village, Wisconsin,Place,No
Horicon city, Wisconsin,Place,Yes
Hortonville village, Wisconsin,Place,No
Houlton CDP, Wisconsin,Place,No
Howard village, Wisconsin,Place,No
Howards Grove village, Wisconsin,Place,Yes
Hudson city, Wisconsin,Place,No
Humbird CDP, Wisconsin,Place,No
Hurley city, Wisconsin,Place,No
Hustisford village, Wisconsin,Place,Yes
Hustler village, Wisconsin,Place,No
Independence city, Wisconsin,Place,No
Ingram village, Wisconsin,Place,No
Iola village, Wisconsin,Place,No
Iron Belt CDP, Wisconsin,Place,No
Iron Ridge village, Wisconsin,Place,Yes
Iron River CDP, Wisconsin,Place,No
Ironton village, Wisconsin,Place,Yes
Ixonia CDP, Wisconsin,Place,No
Jackson village, Wisconsin,Place,No
Janesville city, Wisconsin,Place,No
Jefferson city, Wisconsin,Place,No
Jim Falls CDP, Wisconsin,Place,No
Johnson Creek village, Wisconsin,Place,Yes
Juda CDP, Wisconsin,Place,No
Jump River CDP, Wisconsin,Place,No
Junction City village, Wisconsin,Place,No
Juneau city, Wisconsin,Place,No
Kaukauna city, Wisconsin,Place,No
Kekoskee village, Wisconsin,Place,Yes
Kellnersville village, Wisconsin,Place,No
Kendall village, Wisconsin,Place,Yes
Kennan village, Wisconsin,Place,Yes
Kenosha city, Wisconsin,Place,No
Keshena CDP, Wisconsin,Place,Yes
Kewaskum village, Wisconsin,Place,No
Kewaunee city, Wisconsin,Place,No
Kiel city, Wisconsin,Place,No
Kieler CDP, Wisconsin,Place,No
Kimberly village, Wisconsin,Place,No
King CDP, Wisconsin,Place,No
Kingston village, Wisconsin,Place,No
Knapp village, Wisconsin,Place,Yes
Knowlton CDP, Wisconsin,Place,No
Kohler village, Wisconsin,Place,Yes
Krakow CDP, Wisconsin,Place,No
Kronenwetter village, Wisconsin,Place,Yes
Lac du Flambeau CDP, Wisconsin,Place,No
Lac La Belle village, Wisconsin,Place,Yes
La Crosse city, Wisconsin,Place,No
Ladysmith city, Wisconsin,Place,No
La Farge village, Wisconsin,Place,No
Lake Arrowhead CDP, Wisconsin,Place,Yes
Lake Camelot CDP, Wisconsin,Place,No
Lake Delton village, Wisconsin,Place,No
Lake Geneva city, Wisconsin,Place,No
Lake Hallie village, Wisconsin,Place,No
Lake Ivanhoe CDP, Wisconsin,Place,Yes
Lake Koshkonong CDP, Wisconsin,Place,No
Lake Lorraine CDP, Wisconsin,Place,No
Lake Mills city, Wisconsin,Place,Yes
Lake Nebagamon village, Wisconsin,Place,No
Lake Ripley CDP, Wisconsin,Place,No
Lake Sherwood CDP, Wisconsin,Place,Yes
Lake Tomahawk CDP, Wisconsin,Place,Yes
Lake Wazeecha CDP, Wisconsin,Place,No
Lake Wisconsin CDP, Wisconsin,Place,Yes
Lake Wissota CDP, Wisconsin,Place,No
Lakewood CDP, Wisconsin,Place,No
Lancaster city, Wisconsin,Place,No
Lannon village, Wisconsin,Place,No
Laona CDP, Wisconsin,Place,No
Lauderdale Lakes CDP, Wisconsin,Place,Yes
La Valle village, Wisconsin,Place,Yes
Lebanon CDP, Wisconsin,Place,No
Legend Lake CDP, Wisconsin,Place,No
Lena village, Wisconsin,Place,No
Leopolis CDP, Wisconsin,Place,No
Lewis CDP, Wisconsin,Place,No
Lily Lake CDP, Wisconsin,Place,No
Lime Ridge village, Wisconsin,Place,Yes
Linden village, Wisconsin,Place,Yes
Little Chute village, Wisconsin,Place,No
Little Round Lake CDP, Wisconsin,Place,No
Little Sturgeon CDP, Wisconsin,Place,Yes
Livingston village, Wisconsin,Place,Yes
Lodi city, Wisconsin,Place,Yes
Loganville village, Wisconsin,Place,No
Lohrville village, Wisconsin,Place,Yes
Lomira village, Wisconsin,Place,Yes
Lone Rock village, Wisconsin,Place,No
Long Lake CDP, Wisconsin,Place,No
Lowell village, Wisconsin,Place,No
Loyal city, Wisconsin,Place,Yes
Lublin village, Wisconsin,Place,No
Luck village, Wisconsin,Place,No
Luxemburg village, Wisconsin,Place,No
Lyndon Station village, Wisconsin,Place,No
Lynxville village, Wisconsin,Place,Yes
McFarland village, Wisconsin,Place,No
Madison city, Wisconsin,Place,No
Maiden Rock village, Wisconsin,Place,No
Maine village, Wisconsin,Place,No
Manawa city, Wisconsin,Place,No
Manitowoc city, Wisconsin,Place,No
Maple Bluff village, Wisconsin,Place,Yes
Marathon City village, Wisconsin,Place,Yes
Marengo CDP, Wisconsin,Place,No
Maribel village, Wisconsin,Place,No
Marinette city, Wisconsin,Place,No
Marion city, Wisconsin,Place,No
Markesan city, Wisconsin,Place,No
Marquette village, Wisconsin,Place,Yes
Marshall village, Wisconsin,Place,No
Marshfield city, Wisconsin,Place,No
Mason village, Wisconsin,Place,No
Mattoon village, Wisconsin,Place,No
Mauston city, Wisconsin,Place,No
Mayville city, Wisconsin,Place,No
Mazomanie village, Wisconsin,Place,No
Medford city, Wisconsin,Place,No
Mellen city, Wisconsin,Place,No
Melrose village, Wisconsin,Place,Yes
Melvina village, Wisconsin,Place,Yes
Menasha city, Wisconsin,Place,Yes
Menomonee Falls village, Wisconsin,Place,No
Menomonie city, Wisconsin,Place,Yes
Mequon city, Wisconsin,Place,Yes
Mercer CDP, Wisconsin,Place,No
Merrill city, Wisconsin,Place,No
Merrillan village, Wisconsin,Place,No
Merrimac village, Wisconsin,Place,Yes
Merton village, Wisconsin,Place,Yes
Middleton city, Wisconsin,Place,No
Middle Village CDP, Wisconsin,Place,Yes
Milladore village, Wisconsin,Place,No
Millston CDP, Wisconsin,Place,Yes
Milltown village, Wisconsin,Place,Yes
Milton city, Wisconsin,Place,No
Milwaukee city, Wisconsin,Place,No
Mineral Point city, Wisconsin,Place,No
Minocqua CDP, Wisconsin,Place,No
Minong village, Wisconsin,Place,No
Mishicot village, Wisconsin,Place,Yes
Mole Lake CDP, Wisconsin,Place,No
Mondovi city, Wisconsin,Place,Yes
Monona city, Wisconsin,Place,Yes
Monroe city, Wisconsin,Place,No
Montello city, Wisconsin,Place,No
Montfort village, Wisconsin,Place,No
Monticello village, Wisconsin,Place,Yes
Montreal city, Wisconsin,Place,No
Mosinee city, Wisconsin,Place,No
Mountain CDP, Wisconsin,Place,No
Mount Calvary village, Wisconsin,Place,Yes
Mount Hope village, Wisconsin,Place,Yes
Mount Horeb village, Wisconsin,Place,No
Mount Pleasant village, Wisconsin,Place,No
Mount Sterling village, Wisconsin,Place,No
Mukwonago village, Wisconsin,Place,Yes
Muscoda village, Wisconsin,Place,No
Muskego city, Wisconsin,Place,No
Nashotah village, Wisconsin,Place,Yes
Navarino CDP, Wisconsin,Place,No
Necedah village, Wisconsin,Place,No
Neenah city, Wisconsin,Place,No
Neillsville city, Wisconsin,Place,No
Nekoosa city, Wisconsin,Place,Yes
Nelson village, Wisconsin,Place,No
Nelsonville village, Wisconsin,Place,No
Neopit CDP, Wisconsin,Place,Yes
Neosho village, Wisconsin,Place,No
Neshkoro village, Wisconsin,Place,No
Newald CDP, Wisconsin,Place,No
New Auburn village, Wisconsin,Place,Yes
New Berlin city, Wisconsin,Place,No
Newburg village, Wisconsin,Place,No
New Glarus village, Wisconsin,Place,Yes
New Holstein city, Wisconsin,Place,No
New Lisbon city, Wisconsin,Place,Yes
New London city, Wisconsin,Place,No
New Odanah CDP, Wisconsin,Place,No
New Post CDP, Wisconsin,Place,Yes
New Richmond city, Wisconsin,Place,No
Niagara city, Wisconsin,Place,Yes
Nichols village, Wisconsin,Place,Yes
North Bay village, Wisconsin,Place,Yes
North Fond du Lac village, Wisconsin,Place,No
North Freedom village, Wisconsin,Place,No
North Hudson village, Wisconsin,Place,No
Northport CDP, Wisconsin,Place,No
North Prairie village, Wisconsin,Place,No
Norwalk village, Wisconsin,Place,Yes
Oak Creek city, Wisconsin,Place,No
Oakdale village, Wisconsin,Place,Yes
Oakfield village, Wisconsin,Place,No
Oconomowoc city, Wisconsin,Place,No
Oconomowoc Lake village, Wisconsin,Place,Yes
Oconto city, Wisconsin,Place,No
Oconto Falls city, Wisconsin,Place,Yes
Odanah CDP, Wisconsin,Place,No
Ogdensburg village, Wisconsin,Place,Yes
Ogema CDP, Wisconsin,Place,No
Okauchee Lake CDP, Wisconsin,Place,Yes
Oliver village, Wisconsin,Place,No
Omro city, Wisconsin,Place,Yes
Onalaska city, Wisconsin,Place,No
Ontario village, Wisconsin,Place,No
Oostburg village, Wisconsin,Place,No
Oregon village, Wisconsin,Place,No
Orfordville village, Wisconsin,Place,Yes
Osceola village, Wisconsin,Place,No
Oshkosh city, Wisconsin,Place,No
Osseo city, Wisconsin,Place,No
Owen city, Wisconsin,Place,No
Oxford village, Wisconsin,Place,No
Packwaukee CDP, Wisconsin,Place,No
Paddock Lake village, Wisconsin,Place,No
Palmyra village, Wisconsin,Place,No
Pardeeville village, Wisconsin,Place,Yes
Park Falls city, Wisconsin,Place,No
Park Ridge village, Wisconsin,Place,Yes
Patch Grove village, Wisconsin,Place,No
Pella CDP, Wisconsin,Place,No
Pembine CDP, Wisconsin,Place,No
Pence CDP, Wisconsin,Place,No
Pepin village, Wisconsin,Place,No
Peshtigo city, Wisconsin,Place,No
Pewaukee city, Wisconsin,Place,Yes
Pewaukee village, Wisconsin,Place,No
Phillips city, Wisconsin,Place,No
Pigeon Falls village, Wisconsin,Place,No
Pine River CDP, Wisconsin,Place,No
Pittsville city, Wisconsin,Place,Yes
Plain village, Wisconsin,Place,No
Plainfield village, Wisconsin,Place,No
Platteville city, Wisconsin,Place,No
Pleasant Prairie village, Wisconsin,Place,Yes
Plover village, Wisconsin,Place,No
Plum City village, Wisconsin,Place,No
Plymouth city, Wisconsin,Place,No
Polonia CDP, Wisconsin,Place,No
Poplar village, Wisconsin,Place,No
Portage city, Wisconsin,Place,No
Port Edwards village, Wisconsin,Place,No
Port Washington city, Wisconsin,Place,No
Port Wing CDP, Wisconsin,Place,No
Post Lake CDP, Wisconsin,Place,Yes
Potosi village, Wisconsin,Place,Yes
Potter village, Wisconsin,Place,Yes
Potter Lake CDP, Wisconsin,Place,Yes
Pound village, Wisconsin,Place,Yes
Powers Lake CDP, Wisconsin,Place,No
Poynette village, Wisconsin,Place,Yes
Poy Sippi CDP, Wisconsin,Place,No
Prairie du Chien city, Wisconsin,Place,No
Prairie du Sac village, Wisconsin,Place,No
Prairie Farm village, Wisconsin,Place,No
Prentice village, Wisconsin,Place,Yes
Prescott city, Wisconsin,Place,No
Princeton city, Wisconsin,Place,No
Pulaski village, Wisconsin,Place,No
Pulcifer CDP, Wisconsin,Place,No
Racine city, Wisconsin,Place,No
Radisson village, Wisconsin,Place,Yes
Randolph village, Wisconsin,Place,No
Random Lake village, Wisconsin,Place,No
Readstown village, Wisconsin,Place,No
Redgranite village, Wisconsin,Place,Yes
Reedsburg city, Wisconsin,Place,No
Reedsville village, Wisconsin,Place,No
Reeseville village, Wisconsin,Place,Yes
Reserve CDP, Wisconsin,Place,No
Rewey village, Wisconsin,Place,Yes
Rhinelander city, Wisconsin,Place,No
Rib Lake village, Wisconsin,Place,No
Rib Mountain CDP, Wisconsin,Place,Yes
Rice Lake city, Wisconsin,Place,No
Richfield village, Wisconsin,Place,Yes
Richland Center city, Wisconsin,Place,No
Ridgeland village, Wisconsin,Place,No
Ridgeway village, Wisconsin,Place,No
Rio village, Wisconsin,Place,Yes
Ripon city, Wisconsin,Place,Yes
River Falls city, Wisconsin,Place,No
River Hills village, Wisconsin,Place,Yes
Roberts village, Wisconsin,Place,No
Rochester village, Wisconsin,Place,No
Rockdale village, Wisconsin,Place,No
Rockland village, Wisconsin,Place,No
Rock Springs village, Wisconsin,Place,No
Rome CDP, Wisconsin,Place,Yes
Rosendale village, Wisconsin,Place,No
Rosholt village, Wisconsin,Place,Yes
Rothschild village, Wisconsin,Place,No
Rudolph village, Wisconsin,Place,No
St. Cloud village, Wisconsin,Place,No
St. Croix Falls city, Wisconsin,Place,No
St. Francis city, Wisconsin,Place,No
St. Joseph CDP, Wisconsin,Place,No
St. Nazianz village, Wisconsin,Place,Yes
St. Peter CDP, Wisconsin,Place,No
Salem Lakes village, Wisconsin,Place,No
Sandy Hook CDP, Wisconsin,Place,No
Sauk City village, Wisconsin,Place,Yes
Saukville village, Wisconsin,Place,No
Saxon CDP, Wisconsin,Place,Yes
Sayner CDP, Wisconsin,Place,No
Scandinavia village, Wisconsin,Place,Yes
Schofield city, Wisconsin,Place,No
Sextonville CDP, Wisconsin,Place,No
Seymour CDP, Wisconsin,Place,No
Seymour city, Wisconsin,Place,No
Sharon village, Wisconsin,Place,Yes
Shawano city, Wisconsin,Place,No
Sheboygan city, Wisconsin,Place,No
Sheboygan Falls city, Wisconsin,Place,No
Sheldon village, Wisconsin,Place,Yes
Shell Lake city, Wisconsin,Place,No
Sherwood village, Wisconsin,Place,Yes
Shiocton village, Wisconsin,Place,No
Shorewood village, Wisconsin,Place,No
Shorewood Hills village, Wisconsin,Place,Yes
Shullsburg city, Wisconsin,Place,No
Siren village, Wisconsin,Place,No
Sister Bay village, Wisconsin,Place,No
Slinger village, Wisconsin,Place,No
Sobieski CDP, Wisconsin,Place,No
Soldiers Grove village, Wisconsin,Place,Yes
Solon Springs village, Wisconsin,Place,No
Somers village, Wisconsin,Place,No
Somerset village, Wisconsin,Place,Yes
South Milwaukee city, Wisconsin,Place,No
South Wayne village, Wisconsin,Place,No
Sparta city, Wisconsin,Place,Yes
Spencer village, Wisconsin,Place,Yes
Spooner city, Wisconsin,Place,No
Springbrook CDP, Wisconsin,Place,No
Springfield CDP, Wisconsin,Place,Yes
Spring Green village, Wisconsin,Place,Yes
Spring Valley village, Wisconsin,Place,No
Stanley city, Wisconsin,Place,Yes
Star Prairie village, Wisconsin,Place,No
Stetsonville village, Wisconsin,Place,No
Steuben village, Wisconsin,Place,No
Stevens Point city, Wisconsin,Place,No
Stockbridge village, Wisconsin,Place,No
Stockholm village, Wisconsin,Place,Yes
Stoddard village, Wisconsin,Place,No
Stone Lake CDP, Wisconsin,Place,No
Stoughton city, Wisconsin,Place,No
Stratford village, Wisconsin,Place,No
Strum village, Wisconsin,Place,Yes
Sturgeon Bay city, Wisconsin,Place,No
Sturtevant village, Wisconsin,Place,No
Suamico village, Wisconsin,Place,Yes
Sullivan village, Wisconsin,Place,No
Summit village, Wisconsin,Place,Yes
Summit Lake CDP, Wisconsin,Place,No
Sun Prairie city, Wisconsin,Place,No
Superior city, Wisconsin,Place,No
Superior village, Wisconsin,Place,No
Suring village, Wisconsin,Place,No
Sussex village, Wisconsin,Place,No
Tainter Lake CDP, Wisconsin,Place,No
Taycheedah CDP, Wisconsin,Place,No
Taylor village, Wisconsin,Place,No
Tennyson village, Wisconsin,Place,No
Theresa village, Wisconsin,Place,Yes
Thiensville village, Wisconsin,Place,No
Thornton CDP, Wisconsin,Place,No
Thorp city, Wisconsin,Place,No
Three Lakes CDP, Wisconsin,Place,No
Tichigan CDP, Wisconsin,Place,Yes
Tigerton village, Wisconsin,Place,Yes
Tilleda CDP, Wisconsin,Place,No
Tomah city, Wisconsin,Place,No
Tomahawk city, Wisconsin,Place,No
Tony village, Wisconsin,Place,No
Townsend CDP, Wisconsin,Place,No
Trego CDP, Wisconsin,Place,No
Trempealeau village, Wisconsin,Place,No
Tunnel City CDP, Wisconsin,Place,No
Turtle Lake village, Wisconsin,Place,No
Turtle Lake CDP, Wisconsin,Place,No
Tustin CDP, Wisconsin,Place,Yes
Twin Lakes village, Wisconsin,Place,Yes
Two Rivers city, Wisconsin,Place,No
Union Center village, Wisconsin,Place,No
Union Grove village, Wisconsin,Place,Yes
Unity village, Wisconsin,Place,No
Valders village, Wisconsin,Place,No
Van Dyne CDP, Wisconsin,Place,No
Verona city, Wisconsin,Place,No
Vesper village, Wisconsin,Place,No
Viola village, Wisconsin,Place,Yes
Viroqua city, Wisconsin,Place,No
Wabeno CDP, Wisconsin,Place,No
Waldo village, Wisconsin,Place,No
Wales village, Wisconsin,Place,Yes
Walworth village, Wisconsin,Place,No
Warrens village, Wisconsin,Place,No
Washburn city, Wisconsin,Place,No
Waterford village, Wisconsin,Place,No
Waterloo city, Wisconsin,Place,No
Watertown city, Wisconsin,Place,No
Waubeka CDP, Wisconsin,Place,No
Waukau CDP, Wisconsin,Place,Yes
Waukesha city, Wisconsin,Place,No
Waumandee CDP, Wisconsin,Place,No
Waunakee village, Wisconsin,Place,No
Waupaca city, Wisconsin,Place,Yes
Waupun city, Wisconsin,Place,No
Wausau city, Wisconsin,Place,No
Wausaukee village, Wisconsin,Place,Yes
Wautoma city, Wisconsin,Place,No
Wauwatosa city, Wisconsin,Place,No
Wauzeka village, Wisconsin,Place,Yes
Webster village, Wisconsin,Place,Yes
West Allis city, Wisconsin,Place,No
West Baraboo village, Wisconsin,Place,No
West Bend city, Wisconsin,Place,No
Westboro CDP, Wisconsin,Place,No
Westby city, Wisconsin,Place,No
Westfield village, Wisconsin,Place,No
West Milwaukee village, Wisconsin,Place,No
Weston village, Wisconsin,Place,Yes
West Salem village, Wisconsin,Place,No
Weyauwega city, Wisconsin,Place,No
Weyerhaeuser village, Wisconsin,Place,Yes
Wheeler village, Wisconsin,Place,No
Whitefish Bay village, Wisconsin,Place,Yes
Whitehall city, Wisconsin,Place,No
White Lake village, Wisconsin,Place,No
Whitelaw village, Wisconsin,Place,No
Whitewater city, Wisconsin,Place,Yes
Whiting village, Wisconsin,Place,Yes
Whittlesey CDP, Wisconsin,Place,No
Wild Rose village, Wisconsin,Place,Yes
Williams Bay village, Wisconsin,Place,No
Wilson village, Wisconsin,Place,No
Wilton village, Wisconsin,Place,Yes
Winchester CDP, Wisconsin,Place,No
Wind Lake CDP, Wisconsin,Place,No
Wind Point village, Wisconsin,Place,Yes
Windsor village, Wisconsin,Place,No
Winneconne village, Wisconsin,Place,Yes
Winter village, Wisconsin,Place,Yes
Wiota CDP, Wisconsin,Place,No
Wisconsin Dells city, Wisconsin,Place,Yes
Wisconsin Rapids city, Wisconsin,Place,No
Withee village, Wisconsin,Place,No
Wittenberg village, Wisconsin,Place,No
Wonewoc village, Wisconsin,Place,No
Woodford CDP, Wisconsin,Place,No
Woodman village, Wisconsin,Place,Yes
Woodruff CDP, Wisconsin,Place,No
Woodville village, Wisconsin,Place,Yes
Wrightstown village, Wisconsin,Place,Yes
Wyeville village, Wisconsin,Place,No
Wyocena village, Wisconsin,Place,No
Yorkville village, Wisconsin,Place,No
Yuba village, Wisconsin,Place,No
Zoar CDP, Wisconsin,Place,No
Afton town, Wyoming,Place,No
Albany CDP, Wyoming,Place,Yes
Albin town, Wyoming,Place,No
Alcova CDP, Wyoming,Place,No
Alpine town, Wyoming,Place,No
Alpine Northeast CDP, Wyoming,Place,No
Alpine Northwest CDP, Wyoming,Place,No
Alta CDP, Wyoming,Place,Yes
Antelope Hills CDP, Wyoming,Place,No
Arapahoe CDP, Wyoming,Place,Yes
Arlington CDP, Wyoming,Place,No
Arrowhead Springs CDP, Wyoming,Place,Yes
Arvada CDP, Wyoming,Place,No
Atlantic City CDP, Wyoming,Place,No
Auburn CDP, Wyoming,Place,Yes
Baggs town, Wyoming,Place,Yes
Bairoil town, Wyoming,Place,Yes
Bar Nunn town, Wyoming,Place,Yes
Basin town, Wyoming,Place,Yes
Bear River town, Wyoming,Place,No
Bedford CDP, Wyoming,Place,No
